company_id,type,rule_id,text,confidence_pct
ABB,pro,PR-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,pro,PR-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ABB,pro,PR-06,Net profit compounding at above 20% over 5 years (21.7%) creates significant shareholder value,81
ABB,pro,PR-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ABB,pro,PR-09,Earnings per share growing above 15% CAGR (21.7%) indicates strong earnings quality and compounding,81
ABB,pro,PR-10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ABB,pro,PR-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
ABB,pro,PR-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
ABB,con,CR-FB,Valuation ratio of P/E 75.6x is elevated relative to broader market averages,70
ADANIENSOL,pro,PR-04,Revenue growing at above 15% CAGR over 5 years (17.9%) reflects strong business momentum,77
ADANIENSOL,pro,PR-05,Operating profit margin above 25% (34.4%) indicates strong pricing power and cost discipline,89
ADANIENSOL,con,CR-01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,79
ADANIENSOL,con,CR-10,Return on capital employed below 10% (9.1%) suggests the business is not generating sufficient returns on invested capital,75
ADANIENSOL,con,CR-11,Net debt exceeding 3 times EBITDA (6.4x) is a high leverage ratio and limits financial flexibility,85
ADANIENT,pro,PR-04,Revenue growing at above 15% CAGR over 5 years (19.0%) reflects strong business momentum,79
ADANIENT,pro,PR-06,Net profit compounding at above 20% over 5 years (45.8%) creates significant shareholder value,100
ADANIENT,pro,PR-09,Earnings per share growing above 15% CAGR (32.0%) indicates strong earnings quality and compounding,91
ADANIENT,pro,PR-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
ADANIENT,con,CR-10,Return on capital employed below 10% (9.1%) suggests the business is not generating sufficient returns on invested capital,75
ADANIENT,con,CR-11,Net debt exceeding 3 times EBITDA (5.0x) is a high leverage ratio and limits financial flexibility,85
ADANIGREEN,pro,PR-04,Revenue growing at above 15% CAGR over 5 years (35.0%) reflects strong business momentum,94
ADANIGREEN,pro,PR-05,Operating profit margin above 25% (79.4%) indicates strong pricing power and cost discipline,100
ADANIGREEN,con,CR-01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100
ADANIGREEN,con,CR-10,Return on capital employed below 10% (8.9%) suggests the business is not generating sufficient returns on invested capital,75
ADANIGREEN,con,CR-11,Net debt exceeding 3 times EBITDA (8.7x) is a high leverage ratio and limits financial flexibility,85
ADANIPORTS,pro,PR-04,Revenue growing at above 15% CAGR over 5 years (19.6%) reflects strong business momentum,79
ADANIPORTS,pro,PR-05,Operating profit margin above 25% (58.4%) indicates strong pricing power and cost discipline,100
ADANIPORTS,pro,PR-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
ADANIPORTS,con,CR-FB,Valuation ratio of P/E 48.9x is elevated relative to broader market averages,70
ADANIPOWER,pro,PR-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,96
ADANIPOWER,pro,PR-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ADANIPOWER,pro,PR-04,Revenue growing at above 15% CAGR over 5 years (16.1%) reflects strong business momentum,76
ADANIPOWER,pro,PR-05,Operating profit margin above 25% (36.2%) indicates strong pricing power and cost discipline,91
ADANIPOWER,pro,PR-10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ADANIPOWER,pro,PR-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
ADANIPOWER,con,CR-FB,Valuation ratio of P/E 44.6x is elevated relative to broader market averages,70
AMBUJACEM,pro,PR-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
AMBUJACEM,pro,PR-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
AMBUJACEM,con,CR-12,Revenue growing at below 5% over 5 years (4.1%) lags inflation and suggests limited business momentum,70
APOLLOHOSP,pro,PR-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
APOLLOHOSP,pro,PR-06,Net profit compounding at above 20% over 5 years (36.1%) creates significant shareholder value,96
APOLLOHOSP,pro,PR-08,Consistent dividend yield above 2% (3.22%) backed by positive free cash flow,85
APOLLOHOSP,pro,PR-09,Earnings per share growing above 15% CAGR (30.0%) indicates strong earnings quality and compounding,89
APOLLOHOSP,pro,PR-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
APOLLOHOSP,con,CR-FB,Valuation ratio of P/E 47.7x is elevated relative to broader market averages,70
ASIANPAINT,pro,PR-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,86
ASIANPAINT,pro,PR-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ASIANPAINT,pro,PR-06,Net profit compounding at above 20% over 5 years (20.3%) creates significant shareholder value,80
ASIANPAINT,pro,PR-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ASIANPAINT,pro,PR-08,Consistent dividend yield above 2% (2.42%) backed by positive free cash flow,85
ASIANPAINT,pro,PR-09,Earnings per share growing above 15% CAGR (21.0%) indicates strong earnings quality and compounding,80
ASIANPAINT,pro,PR-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
ASIANPAINT,con,CR-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
ATGL,pro,PR-04,Revenue growing at above 15% CAGR over 5 years (21.1%) reflects strong business momentum,81
ATGL,pro,PR-06,Net profit compounding at above 20% over 5 years (23.9%) creates significant shareholder value,83
ATGL,pro,PR-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ATGL,pro,PR-09,Earnings per share growing above 15% CAGR (24.6%) indicates strong earnings quality and compounding,84
ATGL,pro,PR-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
ATGL,con,CR-FB,Valuation ratio of P/E 57.0x is elevated relative to broader market averages,70
AXISBANK,pro,PR-05,Operating profit margin above 25% (34.7%) indicates strong pricing power and cost discipline,89
AXISBANK,pro,PR-06,Net profit compounding at above 20% over 5 years (39.7%) creates significant shareholder value,99
AXISBANK,pro,PR-09,Earnings per share growing above 15% CAGR (35.1%) indicates strong earnings quality and compounding,95
AXISBANK,pro,PR-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
AXISBANK,con,CR-FB,Exposure to macroeconomic cyclicality and industry competitive shifts,65
BAJAJ_AUTO,pro,PR-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,82
BAJAJ_AUTO,pro,PR-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BAJAJ_AUTO,pro,PR-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJAJ_AUTO,pro,PR-08,Consistent dividend yield above 2% (3.59%) backed by positive free cash flow,85
BAJAJ_AUTO,pro,PR-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BAJAJ_AUTO,con,CR-FB,Moderate 5-year revenue growth of 8.1% indicates maturing market conditions,65
BAJAJFINSV,pro,PR-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,84
BAJAJFINSV,pro,PR-04,Revenue growing at above 15% CAGR over 5 years (21.0%) reflects strong business momentum,80
BAJAJFINSV,pro,PR-05,Operating profit margin above 25% (37.0%) indicates strong pricing power and cost discipline,92
BAJAJFINSV,pro,PR-06,Net profit compounding at above 20% over 5 years (23.7%) creates significant shareholder value,83
BAJAJFINSV,pro,PR-09,Earnings per share growing above 15% CAGR (20.6%) indicates strong earnings quality and compounding,80
BAJAJFINSV,pro,PR-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BAJAJFINSV,con,CR-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85
BAJAJHLDNG,pro,PR-04,Revenue growing at above 15% CAGR over 5 years (31.6%) reflects strong business momentum,91
BAJAJHLDNG,pro,PR-05,Operating profit margin above 25% (91.8%) indicates strong pricing power and cost discipline,100
BAJAJHLDNG,pro,PR-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJAJHLDNG,pro,PR-08,Consistent dividend yield above 2% (3.37%) backed by positive free cash flow,85
